id,category,line1,line2,correct_action
1,"fraud","もしもし検察庁ですが。","口座の残高を教えてください。","cut"
2,"fraud","警察の者ですが。","口座にいくら入っているか教えてください。","cut"
3,"fraud","役所の者ですが。","口座番号を読み上げてください。","cut"
4,"fraud","病院ですが。","キャッシュカードの暗証番号を教えてください。","cut"
5,"fraud","○○銀行ですが。","キャッシュカードを封筒に入れて渡してください。","cut"
6,"fraud","もしもし検察庁ですが。","ATMの前に行ってください。","cut"
7,"fraud","警察の者ですが。","こちらの指示どおりにATMを操作してください。","cut"
8,"fraud","役所の者ですが。","今すぐ現金を引き出して用意してください。","cut"
9,"fraud","病院ですが。","ご自宅に現金を取りに行きます。","cut"
10,"fraud","○○銀行ですが。","指定の口座にお金を振り込んでください。","cut"
11,"fraud","もしもし検察庁ですが。","手数料として現金を振り込んでください。","cut"
12,"fraud","警察の者ですが。","保釈金としてまとまったお金を用意してください。","cut"
13,"fraud","役所の者ですが。","家族に内緒で手続きしてください。","cut"
14,"fraud","病院ですが。","この電話は録音しないでください。","cut"
15,"fraud","○○銀行ですが。","カードを預かりますので封筒に入れてください。","cut"
16,"fraud","もしもし検察庁ですが。","暗証番号を書いたメモを同封してください。","cut"
17,"fraud","警察の者ですが。","スマホに届いた番号を読み上げてください。","cut"
18,"fraud","役所の者ですが。","セキュリティ解除のためコードを教えてください。","cut"
19,"fraud","病院ですが。","すぐにコンビニで電子マネーを購入してください。","cut"
20,"fraud","○○銀行ですが。","カードの裏面の番号を教えてください。","cut"
21,"fraud","もしもし検察庁ですが。","インターネットバンキングのIDとパスワードを教えてください。","cut"
22,"fraud","警察の者ですが。","パソコンを開いて遠隔操作を許可してください。","cut"
23,"fraud","役所の者ですが。","ご家族に代わって口座を管理します。カードを送ってください。","cut"
24,"fraud","病院ですが。","ご自宅の貴重品をまとめておいてください。取りに伺います。","cut"
25,"fraud","○○銀行ですが。","口座を安全な口座に移しますのでお金を移動してください。","cut"
26,"fraud","もしもし検察庁ですが。","この電話の内容は誰にも話さないでください。","cut"
27,"fraud","警察の者ですが。","家族にも絶対に言わないでください。","cut"
28,"fraud","役所の者ですが。","今日中に全額支払えば記録に残りません。","cut"
29,"fraud","病院ですが。","支払わなければ逮捕されます。","cut"
30,"fraud","○○銀行ですが。","支払えばすぐに事件は無かったことになります。","cut"
31,"fraud","もしもし検察庁ですが。","すべて私どもに任せてお金だけ用意してください。","cut"
32,"fraud","警察の者ですが。","キャッシュカードをハサミで切らずにそのまま渡してください。","cut"
33,"fraud","役所の者ですが。","安全のため新しい口座を作りますので、古い口座を空にしてください。","cut"
34,"fraud","病院ですが。","携帯電話を誰にも見せないでください。手続き中です。","cut"
35,"fraud","○○銀行ですが。","話を信じられないなら今すぐ振り込んで確かめてください。","cut"
36,"fraud","もしもし検察庁ですが。","録音されると困るのでメモは取らないでください。","cut"
37,"fraud","警察の者ですが。","お孫さんのために今すぐお金を振り込んでください。","cut"
38,"fraud","役所の者ですが。","名前を名乗らない方が安全なので詳しくは言えません。","cut"
39,"fraud","病院ですが。","こちらで代わりに署名しておきますからお金だけお願いします。","cut"
40,"fraud","○○銀行ですが。","税金を安くするため現金を預からせてください。","cut"
